Manufacturer;Name;Number of Rollers;FTF;BSF;BPFO;BPFI
AMI;201;8;0.383;2.025;3.066;4.934
AMI;202;8;0.383;2.025;3.066;4.934
AMI;203;8;0.383;2.025;3.066;4.934
AMI;204;8;0.383;2.025;3.066;4.934
AMI;205;9;0.398;2.355;3.584;5.416
AMI;206;9;0.398;2.339;3.578;5.422
AMI;207;9;0.396;2.303;3.565;5.435
AMI;208;9;0.401;2.42;3.607;5.393
AMI;209;9;0.402;2.461;3.621;5.379
AMI;210;10;0.409;2.665;4.093;5.907
AMI;211;10;0.409;2.649;4.088;5.912
AMI;212;10;0.408;2.633;4.082;5.918
AMI;213;10;0.41;2.685;4.099;5.901
AMI;214;10;0.41;2.702;4.104;5.896
AMI;215;10;0.412;2.746;4.118;5.882
AMI;216;10;0.413;2.801;4.134;5.866
AMI;217;10;0.412;2.759;4.122;5.878
AMI;218;10;0.411;2.723;4.111;5.889
AMI;305;7;0.372;1.83;2.606;4.394
AMI;306;8;0.386;2.069;3.084;4.916
AMI;307;8;0.384;2.033;3.069;4.931
AMI;308;8;0.385;2.067;3.083;4.917
AMI;309;8;0.387;2.107;3.099;4.901
AMI;310;8;0.383;2.022;3.065;4.935
AMI;311;8;0.383;2.028;3.067;4.933
AMI;312;8;0.384;2.044;3.074;4.926
AMI;313;8;0.384;2.036;3.071;4.929
AMI;314;8;0.385;2.05;3.076;4.924
AMI;315;8;0.385;2.062;3.081;4.919
AMI;316;8;0.387;2.097;3.095;4.905
AMI;317;8;0.386;2.083;3.089;4.911
AMI;318;8;0.388;2.115;3.102;4.898
AMI;319;8;0.388;2.123;3.105;4.895
AMI;320;8;0.385;2.065;3.083;4.917
AMI;321;8;0.385;2.05;3.076;4.924
AMI;322;8;0.384;2.039;3.072;4.928
AMI;324;8;0.391;2.193;3.131;4.869
AMI;326;8;0.392;2.198;3.133;4.867
AMI;328;8;0.392;2.201;3.134;4.866
AMI;B1;8;0.384;2.033;3.069;4.931
AMI;B2;8;0.384;2.033;3.069;4.931
AMI;B3;8;0.384;2.033;3.069;4.931
AMI;B4;8;0.383;2.025;3.066;4.934
AMI;B5;9;0.398;2.355;3.584;5.416
AMI;B6;9;0.398;2.339;3.578;5.422
AMI;B7;9;0.396;2.303;3.565;5.435
AMI;B8;9;0.401;2.42;3.607;5.393
AMI;W201;8;0.384;2.033;3.069;4.931
AMI;W202;8;0.384;2.033;3.069;4.931
AMI;W203;8;0.384;2.033;3.069;4.931
AMI;X05;9;0.398;2.339;3.578;5.422
AMI;X06;9;0.396;2.303;3.565;5.435
AMI;X07;9;0.401;2.42;3.607;5.393
AMI;X08;9;0.402;2.461;3.621;5.379
AMI;X09;10;0.409;2.665;4.093;5.907
AMI;X10;10;0.409;2.649;4.088;5.912
AMI;X11;10;0.408;2.633;4.082;5.918
AMI;X12;10;0.41;2.685;4.099;5.901
AMI;X13;10;0.41;2.702;4.104;5.896
AMI;X14;10;0.412;2.755;4.121;5.879
AMI;X15;10;0.413;2.801;4.134;5.866
AMI;X16;10;0.412;2.759;4.122;5.878
AMI;X17;10;0.411;2.723;4.111;5.889
AMI;X18;10;0.411;2.718;4.109;5.891
AMI;X20;10;0.409;2.67;4.094;5.906
AND;2.25;10;0.00001;2.62;4.0782;5.9218
AND;3;11;0.00001;2.8497;4.563;6.437
AND;4.38;19;0.00001;5.8576;8.6949;10.3051
AND;6.75;24;0.00001;6.9364;11.1394;12.8606
AND;8.75;25;0.00001;6.7431;11.5782;13.4218
ARB;SCS1238A;18;0.451;10.104;8.118;9.882
BARDEN;220H;15;0.412;2.671;6.185;8.814
Browning;VPS-235;10;0.408;2.622;4.08;5.922
CAT;154-3032;8;0.38;1.59;3.47;4.52
CONSOLIDATED;NN-3011 MS P/5;22;0.4448;4.4736;9.7867;12.2133
COOPER;01 B 1000-260M;26;0.455;5.455;11.818;14.182
COOPER;01 B 110M;16;0.43;3.501;6.88;9.12
COOPER;01 B 115M;16;0.43;3.501;6.88;9.12
COOPER;01 B 120M;16;0.432;3.599;6.909;9.091
COOPER;01 B 125M;16;0.432;3.599;6.909;9.091
COOPER;01 B 1300-340M;26;0.458;5.91;11.908;14.092
COOPER;01 B 130M;16;0.432;3.599;6.909;9.091
COOPER;01 B 135M;16;0.433;3.683;6.933;9.067
COOPER;01 B 1400-360M;28;0.461;6.294;12.895;15.105
COOPER;01 B 140M;16;0.433;3.683;6.933;9.067
COOPER;01 B 150M;18;0.438;3.938;7.875;10.125
COOPER;01 B 155M;18;0.438;3.938;7.875;10.125
COOPER;01 B 160M;18;0.438;3.997;7.891;10.109
COOPER;01 B 170M;20;0.442;4.236;8.836;11.164
COOPER;01 B 175M;20;0.442;4.236;8.836;11.164
COOPER;01 B 180M;20;0.442;4.236;8.836;11.164
COOPER;01 B 190M;22;0.448;4.712;9.846;12.154
COOPER;01 B 200M;22;0.448;4.712;9.846;12.154
COOPER;01 B 220M;22;0.45;4.95;9.9;12.1
COOPER;01 B 230M;22;0.45;4.95;9.9;12.1
COOPER;01 B 240M;26;0.455;5.455;11.818;14.182
COOPER;01 B 250M;26;0.455;5.455;11.818;14.182
COOPER;01 B 260M;24;0.454;5.354;10.889;13.111
COOPER;01 B 270M;24;0.454;5.354;10.889;13.111
COOPER;01 B 275M;24;0.454;5.354;10.889;13.111
COOPER;01 B 280M;24;0.454;5.354;10.889;13.111
COOPER;01 B 290M;26;0.457;5.807;11.889;14.111
COOPER;01 B 300M;26;0.457;5.807;11.889;14.111
COOPER;01 B 320M;26;0.458;5.91;11.908;14.092
COOPER;01 B 330M;26;0.458;5.91;11.908;14.092
COOPER;01 B 340M;28;0.461;6.294;12.895;15.105
COOPER;01 B 350M;28;0.461;6.294;12.895;15.105
COOPER;01 B 35M;10;0.405;2.538;4.051;5.949
COOPER;01 B 360M;28;0.461;6.416;12.915;15.085
COOPER;01 B 380M;28;0.461;6.416;12.915;15.085
COOPER;01 B 390M;30;0.463;6.782;13.9;16.1
COOPER;01 B 400M;30;0.463;6.782;13.9;16.1
COOPER;01B407;16;0.43;3.503;6.88;9.12
COOPER;01 B 407;16;0.43;4.251;6.88;9.12
COOPER;01 B 40M;10;0.405;2.538;4.051;5.949
COOPER;01 B 420M;32;0.465;7.147;14.886;17.114
COOPER;01 B 440M;34;0.467;7.512;15.873;18.127
COOPER;01 B 460M;34;0.467;7.512;15.873;18.127
COOPER;01 B 480M;32;0.467;7.576;14.949;17.051
COOPER;01 B 500M;34;0.469;7.925;15.932;18.068
COOPER;01 B 530M;36;0.47;8.362;16.927;19.073
COOPER;01 B 560M;38;0.471;8.711;17.913;20.087
COOPER;01 B 580M;38;0.471;8.721;17.914;20.086
COOPER;01 B 600-160M;18;0.438;3.938;7.875;10.125
COOPER;01 B 600M;40;0.472;9.056;18.899;21.101
COOPER;01 B 608-170M;18;0.438;3.997;7.891;10.109
COOPER;01E B 100M;16;0.422;3.138;6.756;9.244
COOPER;01E B 105M;16;0.422;3.138;6.756;9.244
COOPER;01E B 315;16;0.422;3.188;6.756;9.244
COOPER;01E B 45M;12;0.415;2.857;4.98;7.02
COOPER;01E B 50M;12;0.415;2.857;4.98;7.02
COOPER;01E B 55M;14;0.417;2.934;5.84;8.16
COOPER;01E B 60M;14;0.417;2.934;5.84;8.16
COOPER;01E B 65M;14;0.417;2.934;5.84;8.16
COOPER;01E B 70M;14;0.42;3.053;5.883;8.16
COOPER;01E B 75M;14;0.42;3.053;5.883;8.117
COOPER;01E B 80M;16;0.423;3.187;6.774;9.226
COOPER;01E B 85M;16;0.423;3.187;6.774;9.226
COOPER;01E B 90M;16;0.423;3.187;6.774;9.226
COOPER;01E B 95M;16;0.422;3.138;6.756;9.244
COOPER;01EBCP215EXAT;14;0.42;3.053;5.883;8.117
COOPER;01EBCP215GRAT;14;0.42;3.053;5.883;8.117
COOPER;02 B 100M;14;0.417;2.917;5.833;8.167
COOPER;02 B 105M;14;0.417;2.917;5.833;8.167
COOPER;02 B 110M;14;0.417;2.917;5.833;8.167
COOPER;02 B 115M;14;0.417;2.917;5.833;8.167
COOPER;02 B 120M;14;0.417;2.917;5.833;8.167
COOPER;02 B 125M;14;0.417;2.917;5.833;8.167
COOPER;02 B 130M;14;0.417;2.917;5.833;8.167
COOPER;02 B 140M;14;0.419;3.014;5.869;8.131
COOPER;02 B 145M;14;0.419;3.014;5.869;8.131
COOPER;02 B 150M;16;0.421;3.103;6.743;9.257
COOPER;02 B 155M;16;0.421;3.103;6.743;9.257
COOPER;02 B 160M;14;0.421;3.088;5.895;8.105
COOPER;02 B 170M;14;0.421;3.088;5.895;8.105
COOPER;02 B 175M;16;0.425;3.258;6.8;9.2
COOPER;02 B 180M;16;0.425;3.258;6.8;9.2
COOPER;02 B 190M;16;0.428;3.389;6.844;9.156
COOPER;02 B 200M;16;0.428;3.389;6.844;9.156
COOPER;02 B 220M;18;0.434;3.703;7.806;10.194
COOPER;02 B 230M;18;0.434;3.703;7.806;10.194
COOPER;02 B 240M;18;0.435;3.792;7.833;10.167
COOPER;02 B 250M;18;0.435;3.792;7.833;10.167
COOPER;02 B 260M;18;0.435;3.792;7.833;10.167
COOPER;02 B 280M;18;0.436;3.836;7.846;10.154
COOPER;02 B 300M;20;0.44;4.14;8.81;11.19
COOPER;02 B 320M;20;0.443;4.297;8.852;11.148
COOPER;02 B 330M;20;0.443;4.297;8.852;11.148
COOPER;02 B 340M;20;0.443;4.337;8.862;11.138
COOPER;02 B 350M;20;0.443;4.337;8.862;11.138
COOPER;02 B 360M;20;0.443;4.337;8.862;11.138
COOPER;02 B 380M;22;0.446;4.552;9.806;12.194
COOPER;02 B 400M;22;0.447;4.682;9.839;12.161
COOPER;02 B 403;14;0.417;2.917;5.833;8.167
COOPER;02 B 420M;22;0.449;4.806;9.868;12.132
COOPER;02 B 440M;24;0.451;5.008;10.814;13.186
COOPER;02 B 460M;24;0.451;5.008;10.814;13.186
COOPER;02 B 480M;26;0.453;5.267;11.777;14.223
COOPER;02 B 500M;28;0.455;5.469;12.731;15.269
COOPER;02 B 50M;10;0.402;2.452;4.02;5.98
COOPER;02 B 530M;26;0.453;5.322;11.789;14.211
COOPER;02 B 560M;28;0.455;5.561;12.751;15.249
COOPER;02 B 580M;30;0.461;6.432;13.841;16.159
COOPER;02 B 600-160M;16;0.421;3.103;6.743;9.257
COOPER;02 B 600M;30;0.458;5.958;13.75;16.25
COOPER;02 B 60M;12;0.411;2.73;4.936;7.064
COOPER;02 B 65M;12;0.411;2.73;4.936;7.064
COOPER;02 B 70M;12;0.411;2.719;4.932;7.068
COOPER;02 B 75M;12;0.411;2.719;4.932;7.068
COOPER;02 B 80M;14;0.417;2.917;5.833;8.167
COOPER;02 B 85M;14;0.417;2.917;5.833;8.167
COOPER;02 B 90M;14;0.417;2.917;5.833;8.167
COOPER;02 BC 315 EXAT;14;0.417;2.917;5.833;8.167
COOPER;02 BC 407 EXAT;14;0.417;2.918;5.834;8.166
COOPER;02BC415EXAT;14;0.417;2.917;5.833;8.167
COOPER;02BC4P315;14;0.417;2.92;5.833;8.167
COOPER;02BCP1300;20;0.433;4.298;8.852;11.148
COOPER;03 B 100M;10;0.384;2.038;3.839;6.161
COOPER;03 B 110M;10;0.392;2.199;3.917;6.083
COOPER;03 B 120M;10;0.392;2.199;3.917;6.083
COOPER;03 B 130M;12;0.398;2.36;4.781;7.219
COOPER;03 B 140M;12;0.393;2.226;4.714;7.286
COOPER;03 B 150M;12;0.395;2.27;4.737;7.263
COOPER;03 B 160M;14;0.409;2.642;5.72;8.28
COOPER;03 B 170M;14;0.409;2.642;5.72;8.28
COOPER;03 B 180M;14;0.411;2.717;5.753;8.247
COOPER;03 B 190M;14;0.413;2.796;5.786;8.214
COOPER;03 B 200M;14;0.413;2.796;5.786;8.214
COOPER;03 B 220M;12;0.414;2.808;4.964;7.036
COOPER;03 B 240M;14;0.418;2.971;5.853;8.147
COOPER;03 B 250M;14;0.418;2.971;5.853;8.147
COOPER;03 B 260M;14;0.418;2.971;5.853;8.147
COOPER;03 B 290M;16;0.426;3.326;6.824;9.176
COOPER;03 B 300M;16;0.426;3.326;6.824;9.176
COOPER;03 B 320M;14;0.423;3.184;5.927;8.073
COOPER;03 B 380M;16;0.429;3.429;6.857;9.143
COOPER;03 B 400M;16;0.429;3.429;6.857;9.143
COOPER;03 B 500M;18;0.437;3.9;7.864;10.136
COOPER;03 B 530M;18;0.437;3.9;7.864;10.136
COOPER;03E B 280M;16;0.423;3.16;6.764;9.236
COOPER;03E B 340M;16;0.428;3.405;6.85;9.15
COOPER;03E B 360M;16;0.428;3.405;6.85;9.15
COOPER;03E B 420M;20;0.435;3.759;8.693;11.307
COOPER;03E B 440M;20;0.435;3.759;8.693;11.307
COOPER;03E B 460M;18;0.433;3.683;7.8;10.2
COOPER;03E B 560M;20;0.44;4.107;8.8;11.2
COOPER;03E B 600M;22;0.442;4.244;9.722;12.278
COOPER;03X B 280M;16;0.425;3.24;6.794;9.206
COOPER;03X B 360M;16;0.427;3.362;6.835;9.165
COOPER;03X B 460M;16;0.432;3.598;6.909;9.091
COOPER;03X B 480M;16;0.432;3.598;6.909;9.091
COOPER;100 B 100M;20;0.446;4.553;8.915;11.085
COOPER;100 B 110M;20;0.442;4.251;8.84;11.16
COOPER;100 B 120M;20;0.447;4.627;8.932;11.068
COOPER;100 B 130M;20;0.447;4.627;8.932;11.068
COOPER;100 B 140M;20;0.447;4.654;8.938;11.062
COOPER;100 B 150M;20;0.443;4.3;8.852;11.148
COOPER;100 B 75M;20;0.448;4.723;8.953;11.047
COOPER;100 B 85M;20;0.446;4.592;8.924;11.076
COOPER;100BC507GRAT;20;0.447;4.655;8.938;11.06
COOPER;COP.02EBCPQ5288415GRAT**30(SAFQ528;14;0.412;2.747;5.766;8.234
COOPER;COP.02EBCPQ532503GRAT**21 (SAFQ532);14;0.416;2.889;5.823;8.177
COOPER;SAFC528;14;0.417;2.917;5.833;8.167
Craft;S1 211 BCH;14;0.42;3.053;5.883;8.117
Dodge;P2B-IP-115R;18;0.425;3.226;7.653;10.347
Dodge;P2B-K-203R;19;0.433804;3.611184;8.24227;10.75773
Dodge;P2B-SXR-107;9;0.398;2.339;3.579;5.422
Dodge;P4B520-ISAF-307RE;18;0.424;3.183;7.635;10.365
Dodge;P4B520-USAF-307RE;19;0.428;3.336;8.123;10.877
Dodge;P4B528-ISAF-415L;18;0.425;3.193;7.643;10.357
Dodge;P4B528-USAF-415L;18;0.424;3.186;7.639;10.361
Dodge;P4B-D1-215R;24;0.45;4.708;10.792;13.208
DODGE;1-15/16;10;0.41;2.657;4.09;5.91
DODGE;211;27;0.54;11.19;12.34;14.66
DODGE;215;27;0.45;5.67;12.36;14.63
DODGE;22213;18;0.424;3.182;7.635;10.365
DODGE;22215;20;0.429;3.419;8.582;11.418
DODGE;22220K;18;0.424;3.174;7.632;10.368
DODGE;22228SS;18;0.424;3.145;7.623;10.377
DODGE;22244;16;0.423;3.137;6.772;9.228
DODGE;307;27;0.54;11.19;12.34;14.66
DODGE;315;33;0.45;6.01;15.17;17.82
DODGE;4BSAF22517x2 15/16XT;18;0.42;3.13;7.61;10.38
DODGE;4BSAF22522x3 15/1622222;17;0.41;2.95;7.11;9.9
DODGE;4BSAF22522x4XT;17;0.41;2.95;7.11;9.9
DODGE;4BSAF22526x4 1/222226;18;0.42;3.14;7.62;10.38
DODGE;4BSAF22526x4 7/16XT;18;0.42;3.14;7.62;10.38
DODGE;4BSAF22530x5 3/1622230;18;0.42;3.13;7.61;10.36
DODGE;4BSAF22532x5 7/16XT;18;0.42;3.13;7.61;10.36
DODGE;4BSAF22534x622234;18;0.41;2.95;7.61;9.9
DODGE;4BSAF22536x6 1/2XT;18;0.42;3.13;7.61;10.38
DODGE;4BSAF22538x6 15/1623048;20;0.43;3.43;8.59;11.48
DODGE;4BSAF22538x7XT;20;0.43;3.43;8.59;11.48
DODGE;4BSAF22544x7 15/1623048;19;0.42;3.24;8.08;10.92
DODGE;4BSAF22544x8XT;19;0.42;3.24;8.08;10.92
DODGE;4BSAF22548x8 15/16XT;29;0.45;5.14;13.11;15.9
DODGE;4BSAF22548x9XT;29;0.45;5.14;13.11;15.9
DODGE;4BSAF22556x10XT;28;0.45;4.95;12.61;15.36
DODGE;4BSAFS22515x2 7/1622215;20;0.43;3.54;8.62;11.34
DODGE;4BSAFS22518x3 3/1622218;18;0.42;3.13;7.61;10.38
DODGE;4BSLX108;9;0.39;2.28;3.55;5.44
DODGE;4BSLX115;10;0.4;2.67;4.09;5.9
DODGE;4BSLX200;10;0.4;2.65;4.09;5.9
DODGE;4BSLX203;10;0.4;2.65;4.09;5.9
DODGE;4FBDI106E;20;0.56;7.04;8.65;11.35
DODGE;4FBDI107;20;0.43;3.52;8.66;11.33
DODGE;4FBDI108;18;0.57;6.79;7.73;10.26
DODGE;4FBDI108E;18;0.43;3.37;7.74;10.25
DODGE;4FBDI111E;18;0.57;6.79;7.73;10.26
DODGE;4FBDI112;17;0.42;3.23;7.24;9.75
DODGE;4FBDI115;17;0.57;6.49;7.24;9.75
DODGE;4FBDI115E;17;0.42;3.23;7.24;9.75
DODGE;4FBDI200E;17;0.57;6.49;7.24;9.75
DODGE;4FBDI203;19;0.43;3.61;8.24;10.75
DODGE;4FBDI204;21;0.56;8.06;9.24;11.75
DODGE;4FBDI204E;21;0.44;4.01;9.25;11.74
DODGE;4FBDI207E;21;0.56;8.06;9.24;11.75
DODGE;4FBDI208;21;0.44;4.01;9.25;11.74
DODGE;4FBDI211;24;0.55;9.46;10.76;13.21
DODGE;4FBDI211E;24;0.44;4.7;10.79;13.2
DODGE;4FBDI215E;24;0.55;9.46;10.76;13.21
DODGE;4FBDI300;24;0.44;4.7;10.79;13.2
DODGE;4FBDI303;26;0.54;10.23;11.79;14.2
DODGE;4FBDI303E;26;0.45;5.15;11.81;14.18
DODGE;4FBDI307E;26;0.54;10.23;11.79;14.2
DODGE;4FBDI308;26;0.45;5.15;11.81;14.18
DODGE;4FBDI315;26;0.54;9.68;11.74;14.25
DODGE;4FBDI315E;26;0.45;4.97;11.76;14.23
DODGE;4FBDI400E;26;0.54;9.68;11.74;14.25
DODGE;4FBDI407;25;0.45;4.8;11.28;13.71
DODGE;4FBDI408;25;0.54;9.6;11.26;13.73
DODGE;4FBDI408E;25;0.45;4.8;11.28;13.71
DODGE;4FBDI415E;25;0.55;9.52;11.24;13.75
DODGE;507;27;0.45;4.87;12.15;14.84
DODGE;600;26;0.55;9.75;11.7;14.29
DODGE;700;32;0.45;5.97;14.7;17.29
DODGE;CRTAS215;27;0.54;11.19;12.34;14.66
DODGE;CRTAS300(E);27;0.45;5.67;12.36;14.63
DODGE;CRTAS315;33;0.54;11.99;15.16;17.63
DODGE;CRTAS407(E);29;0.45;5.37;13.19;15.8
DODGE;CRTAS507(E);27;0.45;4.87;12.15;14.84
DODGE;CRTAS600;26;0.55;9.75;11.7;14.29
DODGE;CRTAS700(E);32;0.45;5.97;14.7;17.29
DODGE;F2BDL008 (A);9;0.39;2.35;3.58;5.41
DODGE;F2BDL008 (B);9;0.39;2.28;3.55;5.44
DODGE;F2BDL008 (C);10;0.4;2.67;4.09;5.9
DODGE;F2BDL008 (D);8;0.38;2;3.05;4.94
DODGE;F2BDL008 (E);9;0.39;2.32;3.57;5.42
DODGE;F2BDL008 (F);9;0.39;2.33;3.57;5.42
DODGE;F2BDL008 (G);10;0.4;2.65;4.09;5.9
DODGE;F2BDL008L;8;0.36;2;3.05;4.94
DODGE;F2BDL010;8;0.38;2.05;3.07;4.92
DODGE;F2BDL010L;8;0.36;2;3.05;4.94
DODGE;F2BDL012;8;0.36;2;3.05;4.94
DODGE;F2BDL014;9;0.39;2.35;3.58;5.41
DODGE;F2BDL015;9;0.39;2.35;3.58;5.41
DODGE;F2BDL100;9;0.39;2.35;3.58;5.41
DODGE;F2BDL101;9;0.39;2.32;3.57;5.42
DODGE;F2BDL102;9;0.39;2.32;3.57;5.42
DODGE;F2BDL103;9;0.39;2.32;3.57;5.42
DODGE;F2BDL104;9;0.39;2.33;3.57;5.42
DODGE;F2BDL104S;9;0.39;2.32;3.57;5.42
DODGE;F2BDL105;9;0.39;2.33;3.57;5.42
DODGE;F2BDL106;9;0.39;2.33;3.57;5.42
DODGE;F2BDL107;9;0.39;2.33;3.57;5.42
DODGE;F2BDL108;9;0.39;2.28;3.55;5.44
DODGE;F2BDL110 (A);9;0.39;2.28;3.55;5.44
DODGE;F2BDL110 (B);9;0.39;2.35;3.58;5.41
DODGE;F2BDL110L;9;0.39;2.35;3.58;5.41
DODGE;F2BDL111;9;0.39;2.35;3.58;5.41
DODGE;F2BDL112;9;0.39;2.35;3.58;5.41
DODGE;F2BDL113;9;0.39;2.35;3.58;5.41
DODGE;F2BDL115;10;0.4;2.67;4.09;5.9
DODGE;F2BDL200 (A);10;0.4;2.67;4.09;5.9
DODGE;F2BDL200 (B);10;0.4;2.65;4.09;5.9
DODGE;F2BDL203;10;0.4;2.65;4.09;5.9
DODGE;F2BDL204 (A);10;0.4;2.65;4.09;5.9
DODGE;F2BDL204 (B);10;0.4;2.61;4.07;5.92
DODGE;F2BDL207;10;0.4;2.61;4.07;5.92
DODGE;F2BDL20M (A);8;0.36;2;3.05;4.94
DODGE;F2BDL20M (B);8;0.38;2;3.05;4.94
DODGE;F2BDL25M;9;0.39;2.35;3.58;5.41
DODGE;F2BDL30M;9;0.39;2.32;3.57;5.42
DODGE;F2BDL35M;9;0.39;2.33;3.57;5.42
DODGE;F2BDL40M;9;0.39;2.28;3.55;5.44
DODGE;F2BDL45M;9;0.39;2.35;3.58;5.41
DODGE;F2BDL50M;10;0.4;2.67;4.09;5.9
DODGE;F2BDL55M;10;0.4;2.65;4.09;5.9
DODGE;F2BDL60M;10;0.4;2.61;4.07;5.92
DODGE;F2BDL60MKRMS;10;0.4;2.61;4.07;5.92
DODGE;F2BDLEZ008LPCR;8;0.36;2;3.05;4.94
DODGE;F2BDLEZ008PCR (A);9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ008PCR (B);9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ008PCR (C);8;0.36;2.05;3.07;4.92
DODGE;F2BDLEZ010;8;0.38;2;3.05;4.94
DODGE;F2BDLEZ010LPCR;8;0.36;2;3.05;4.94
DODGE;F2BDLEZ010PCR;8;0.38;2.05;3.07;4.92
DODGE;F2BDLEZ012;8;0.38;2;3.05;4.94
DODGE;F2BDLEZ014;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ014PCR;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ015;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ015PCR;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ100;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ101;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ101PCR;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ102;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ102PCR;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ103;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ104;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ104PCR;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ104S;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ104SPCR;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ105;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ106;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ106PCR;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ107;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ107PCR;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ108;9;0.39;2.28;3.55;5.44
DODGE;F2BDLEZ110;9;0.39;2.28;3.55;5.44
DODGE;F2BDLEZ110LPCR;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ110PCR;9;0.39;2.28;3.55;5.44
DODGE;F2BDLEZ111;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ111PCR;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ112;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ113;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ113PCR;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ115;10;0.4;2.67;4.09;5.9
DODGE;F2BDLEZ115PCR;10;0.4;2.67;4.09;5.9
DODGE;F2BDLEZ17MPCR;8;0.38;2.05;3.07;4.92
DODGE;F2BDLEZ200;10;0.4;2.67;4.09;5.9
DODGE;F2BDLEZ200PCR;10;0.4;2.67;4.09;5.9
DODGE;F2BDLEZ203PCR;10;0.4;2.65;4.09;5.9
DODGE;F2BDLEZ204PCR;10;0.4;2.61;4.07;5.92
DODGE;F2BDLEZ207PCR;10;0.4;2.61;4.07;5.92
DODGE;F2BDLEZ20M;8;0.38;2;3.05;4.94
DODGE;F2BDLEZ25M;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ25MPCR;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ30M;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ30MPCR;9;0.39;2.32;3.57;5.42
DODGE;F2BDLEZ35M;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ35MPCR;9;0.39;2.33;3.57;5.42
DODGE;F2BDLEZ40M;9;0.39;2.28;3.55;5.44
DODGE;F2BDLEZ45M;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ45MPCR;9;0.39;2.35;3.58;5.41
DODGE;F2BDLEZ50M;10;0.4;2.67;4.09;5.9
DODGE;F2BDLEZ50MPCR;10;0.4;2.67;4.09;5.9
DODGE;F2BDLEZ55MPCR;10;0.4;2.65;4.09;5.9
DODGE;F2BDLEZ60MPCR;10;0.4;2.61;4.07;5.92
DODGE;F2BDLM100;9;0.39;2.32;3.57;5.42
DODGE;F2BDLM103(NL,FF);9;0.39;2.33;3.57;5.42
DODGE;F2BDLM104;9;0.39;2.33;3.57;5.42
DODGE;F2BDLM107;9;0.39;2.28;3.55;5.44
DODGE;F2BDLM107(NL,FF);9;0.39;2.28;3.55;5.44
DODGE;F2BDLM108;9;0.39;2.28;3.55;5.44
DODGE;F2BDLM108(NL,FF);9;0.39;2.35;3.58;5.41
DODGE;F2BDLM110L;9;0.39;2.35;3.58;5.41
DODGE;F2BDLM111;10;0.4;2.67;4.09;5.9
DODGE;F2BDLM111(NL,FF);10;0.4;2.67;4.09;5.9
DODGE;F2BDLM112;10;0.4;2.67;4.09;5.9
DODGE;F2BDLM115(NL,FF);10;0.4;2.65;4.09;5.9
DODGE;F2BDLM200;10;0.4;2.65;4.09;5.9
DODGE;F2BDLM200(NL,FF);10;0.4;2.65;4.09;5.9
DODGE;F2BDLM203;10;0.4;2.61;4.07;5.92
DODGE;F2BDLM204;10;0.4;2.61;4.07;5.92
DODGE;F2BDLM50M(NL,FF);10;0.4;2.65;4.09;5.9
DODGE;F2BDLM55M;10;0.4;2.61;4.07;5.92
DODGE;F2BSC008 (A);8;0.38;2.05;3.07;4.92
DODGE;F2BSC008 (B);8;0.36;2.05;3.07;4.92
DODGE;F2BSC008 (C);8;0.38;2;3.05;4.94
DODGE;F2BSC008 (D);9;0.39;2.33;3.57;5.42
DODGE;F2BSC008 (E);10;0.4;2.65;4.09;5.9
DODGE;F2BSC008FF (A);8;0.38;2;3.05;4.94
DODGE;F2BSC008FF (B);9;0.39;2.33;3.57;5.42
DODGE;F2BSC008FF (C);10;0.4;2.65;4.09;5.9
DODGE;F2BSC008FF (D);8;0.38;2.05;3.07;4.92
DODGE;F2BSC008L;8;0.36;2;3.05;4.94
